,Date,Latitude,Longitude,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
5592,2004-06-01,32,-97,1174865,5411713,TEXAS,48,Thunderstorm Wind,C,139,ELLIS,FWD,CST,0,0,0,0,15K,,NEWSPAPER,61.0,ES,,,,,,,,,,"A series of slow moving upper level disturbances produced unusually heavy rain across most of North Central Texas in June.  The monthly rainfall ranged from a low of4.08 inches in Eastland County to 20.02 inches at Hudson Oaks in Parker County.  Many locations had twice their normal rainfall for the month.  The DFW Airport had the second wettest June on Record, and had measurable rain 18 days, the most days in any month with measurable rain.  These heavy rains produced periodic flash flooding somewhere in North Central Texas nearly every day of the month.  The month began with a northwest flow event on the 1st, with a large hp supercell producing large hail from Jack County southeast to Parker County.  The storm had an erratic southeast movement, but when the storm entered Northern Parker County, it made a left turn and moved nearly due east through Tarrant County, producing countywide wind damage, with measured winds up to 86 miles an hour at the Meacham Airport, some large hail, and flash flood producing rains.   This became the most destructive storm in Tarrant County since the Mayfest Storm on May 5, 1995.  TXU Electric had their worst power outages in the Companies history, as over 500,000 people were without electricity, some for as long as 5 days.  They had to bring in work crews from out of state to help restore power.    Damage estimates for Tarrant County were well over $100,000,000 from this storm.  Sporadic severe weather occurred the rest of the month, but heavy rain and flooding were the main problems.",A mobile home was blown over by high winds.,PDS
5593,2004-07-13,36,-86,1176022,5411935,TENNESSEE,47,Thunderstorm Wind,C,41,DEKALB,OHX,CST,0,0,0,0,,,AMATEUR RADIO,60.0,EG,,,,,,,,,,,Numerous trees and power lines were blown down around the county. Newspaper account mentioned large trees were down from Goose Creek Road in Alexandria to Johnson's Chapel Road in the eastern part of the county. Trees were blown down in the Four Seasons area as well.,PDS
5594,2004-07-13,36,-86,1176022,5411936,TENNESSEE,47,Thunderstorm Wind,C,35,CUMBERLAND,OHX,CST,0,0,0,0,10K,,AMATEUR RADIO,60.0,EG,,,,,,,,,,,"Numerous trees and power lines were down across the county. 17,000 people lost power in Crossville. Most of the damage caused by the storm was along Maple Street in Crossville. One tree landed on a house on Maple Street. Storm damage was reported in Deer Creek and Shangri La subdivisions according to the newspaper.",PDS
5595,2004-07-13,36,-85,1176022,5411937,TENNESSEE,47,Thunderstorm Wind,C,187,WILLIAMSON,OHX,CST,0,0,0,0,,,AMATEUR RADIO,55.0,EG,,,,,,,,,,,Trees and power lines were down around the city.,PDS
5596,2004-07-13,36,-87,1176022,5411938,TENNESSEE,47,Thunderstorm Wind,C,133,OVERTON,OHX,CST,0,0,0,0,5K,,TRAINED SPOTTER,55.0,EG,,,,,,,,,,,Numerous trees and power lines were down around the county. Newspaper reported trees fell on a residence on Alvin Garrett Lane which is 3.1 miles east of Livingston.,PDS
5597,2004-07-31,32,-96,1175742,5412169,TEXAS,48,Thunderstorm Wind,C,161,FREESTONE,FWD,CST,0,0,0,0,,,LAW ENFORCEMENT,52.0,ES,,,,,,,,,,,Occurred on Interstate 45 near Dew.,PDS
5598,2004-07-31,32,-97,1175742,5412170,TEXAS,48,Thunderstorm Wind,C,217,HILL,FWD,CST,0,0,0,0,,,LAW ENFORCEMENT,52.0,ES,,,,,,,,,,,Trees up to one foot in diameter were blown down.  Occurred near Birome on CR 3255.,PDS
5599,2004-07-13,36,-86,1176022,5411930,TENNESSEE,47,Thunderstorm Wind,C,37,DAVIDSON,OHX,CST,0,0,0,0,,,AMATEUR RADIO,50.0,EG,,,,,,,,,,,Numerous trees down along Old Lebanon Dirt Road. The roadway was blocked by downed trees.,PDS
5600,2004-07-13,36,-87,1176022,5411931,TENNESSEE,47,Thunderstorm Wind,C,189,WILSON,OHX,CST,0,0,0,0,5K,,TRAINED SPOTTER,60.0,EG,,,,,,,,,,,Telephone poles and trees were snapped. Tree fell on a house. Newspaper story said that as many as 500 trees were blown around the county down during the storm according to Sheriff Ashe.,PDS
5601,2004-07-13,36,-86,1176022,5411932,TENNESSEE,47,Thunderstorm Wind,C,189,WILSON,OHX,CST,0,0,0,0,,,TRAINED SPOTTER,60.0,EG,,,,,,,,,,,Retired NWS MIC reported numerous trees down from West Elementary School on Lebanon Pike to Highway 109 and Lebanon Pike with winds estimated to be 65 to 70 mph.,PDS
5602,2004-07-13,36,-86,1176022,5411933,TENNESSEE,47,Thunderstorm Wind,C,37,DAVIDSON,OHX,CST,0,0,0,0,,,AMATEUR RADIO,60.0,EG,,,,,,,,,,,Winds were estimated to be 60 to 70 mph in the Green Hills area.,PDS
5603,2004-06-01,33,-96,1174865,5409749,TEXAS,48,Hail,C,497,WISE,FWD,CST,0,0,0,0,,,TRAINED SPOTTER,1.75,,,,,,,,,,,"A series of slow moving upper level disturbances produced unusually heavy rain across most of North Central Texas in June.  The monthly rainfall ranged from a low of4.08 inches in Eastland County to 20.02 inches at Hudson Oaks in Parker County.  Many locations had twice their normal rainfall for the month.  The DFW Airport had the second wettest June on Record, and had measurable rain 18 days, the most days in any month with measurable rain.  These heavy rains produced periodic flash flooding somewhere in North Central Texas nearly every day of the month.  The month began with a northwest flow event on the 1st, with a large hp supercell producing large hail from Jack County southeast to Parker County.  The storm had an erratic southeast movement, but when the storm entered Northern Parker County, it made a left turn and moved nearly due east through Tarrant County, producing countywide wind damage, with measured winds up to 86 miles an hour at the Meacham Airport, some large hail, and flash flood producing rains.   This became the most destructive storm in Tarrant County since the Mayfest Storm on May 5, 1995.  TXU Electric had their worst power outages in the Companies history, as over 500,000 people were without electricity, some for as long as 5 days.  They had to bring in work crews from out of state to help restore power.    Damage estimates for Tarrant County were well over $100,000,000 from this storm.  Sporadic severe weather occurred the rest of the month, but heavy rain and flooding were the main problems.",Golfball size hail occurred in Newark.,PDS
5604,2004-06-01,33,-97,1174865,5409756,TEXAS,48,Thunderstorm Wind,C,281,LAMPASAS,FWD,CST,0,0,0,0,5K,,TRAINED SPOTTER,61.0,ES,,,,,,,,,,"A series of slow moving upper level disturbances produced unusually heavy rain across most of North Central Texas in June.  The monthly rainfall ranged from a low of4.08 inches in Eastland County to 20.02 inches at Hudson Oaks in Parker County.  Many locations had twice their normal rainfall for the month.  The DFW Airport had the second wettest June on Record, and had measurable rain 18 days, the most days in any month with measurable rain.  These heavy rains produced periodic flash flooding somewhere in North Central Texas nearly every day of the month.  The month began with a northwest flow event on the 1st, with a large hp supercell producing large hail from Jack County southeast to Parker County.  The storm had an erratic southeast movement, but when the storm entered Northern Parker County, it made a left turn and moved nearly due east through Tarrant County, producing countywide wind damage, with measured winds up to 86 miles an hour at the Meacham Airport, some large hail, and flash flood producing rains.   This became the most destructive storm in Tarrant County since the Mayfest Storm on May 5, 1995.  TXU Electric had their worst power outages in the Companies history, as over 500,000 people were without electricity, some for as long as 5 days.  They had to bring in work crews from out of state to help restore power.    Damage estimates for Tarrant County were well over $100,000,000 from this storm.  Sporadic severe weather occurred the rest of the month, but heavy rain and flooding were the main problems.",Trees and power lines were blown down by high winds.,PDS
5605,2004-06-03,34,-78,1174845,5410064,NORTH CAROLINA,37,Thunderstorm Wind,C,19,BRUNSWICK,ILM,EST,0,0,0,0,,,BROADCAST MEDIA,61.0,EG,,,,,,,,,,,"Wind gusts were estimated at 70 mph at the Magnolia Greens golf course.  Patio furniture was blown 30 yards, and there was some shingles torn off of a house.",PDS
